page_number_by_2012,page_number_by_2021,name,comment_text,image,book_id,chapter_id,sort,author_id
11,19,"Яссы, Кодряну, Лига/Iasi, Codreanu, the League"," Речь идет о румынском политическом деятеле крайне правого толка Корнелиу Зеля Кодряну (на фото) и об основанной им «Железной гвардии» («Лиге Архангела Михаила»). В городе Яссы Кодряну учился на юридическом факультете и там же в начале 20-х годов начал свою политическую деятельность. Члены Лиги отличались антисемитскими и антикоммунистическими взглядами. Сам Кодряну был убит 30 ноября 1938 года, но основанная им организация успешно существовала еще несколько лет. В 1940 году члены Лиги вошли в правительство Антонеску. В январе 1941 года Лига устроила путч, подавленный Антонеску при поддержке Германии. Лига была распущена, ее члены оказались в тюрьме или за границей.
",Гл1.2_стр11_Яссы_Кодряну.jpg,1,2,4,1
12,20,П.М.С. Блэккетт/P. M. S. Blackett,"нглийский физик (на фото), лауреат Нобелевской премии по физике (1948 год). Во время ВМВ был научным советником маршала ВВС Жуберта, руководившего обороной британского побережья, во главе специальной группы занимался изучением противолодочной войны. В 1940 г. стал управляющим морскими операционными исследованиями адмиралтейства, где продолжил заниматься борьбой с подводными лодками и иными операциями ВМС. Будучи прикреплен к генералу Пайлу в качестве научного советника, организовал научный анализ работы штаба. В период Первого Блица (см. примечание к стр.21) был ответственен за подготовку и использование средств противовоздушной обороны.",Гл1.2_стр12_ПМС_Блэккетт.jpg,1,2,1,1
12,20,У.К. Филдз/W. C. Fields,"Известный американский комик. Начинал свою карьеру как жонглер-фокусник (чем объясняется упоминание в романе «склонности к магии»), выступал на Бродвее, с 30-х годов много снимался в кино.
",,1,2,2,1
13,20,Знак грешков молодости «Незрелость/the mark of Youthful Folly,"4-я гексаграмма из «Книги перемен», Мэн; ее изображение означает реку под горой (на рис.). Краткое толкование гексаграммы таково: «Свершение. Не я ищу юношей; юноши ищут меня. По первому гаданию – возвещу; повторное и третье – смутит. Раз смутит – не возвещу. Благоприятна стойкость. I. В начале шестерка. Развитие недоразвитого. – Благоприятно для применения казней над людьми, для освобождения колодок на руках и ногах, ибо продолжение приведет к сожалению. II. Девятка вторая. Сын управляет всем домом. – Приятие недоразвитых – к счастью; взятие жены – к счастью. III. Шестерка третья. Незачем брать жену, увидит богача и не соблюдет себя. – Ничего благоприятного. IV. Шестерка четвертая. Стеснение от недоразвитости. – Сожаление. V. Шестерка пятая. Недоразвитость юноши. – Счастье. VI. Наверху девятка. Удар по недоразвитости. – Не благоприятствует быть разбойником; благоприятствует справиться с разбойником»[2]. Не то, чтоб добавило ясности (словно про дурака какого-то написано), но надо иметь в виду.
",Гл1.2_стр13_Знак_грешков_молодости_Незрелость.jpg,1,2,1,1
13,21,Герл-гайды/Girl Guides. Гайдинг,"молодежное движение девочек и девушек, возникшее в начале ХХ века в Великобритании как параллель скаутингу (для мальчиков и юношей). Будут упоминаться на стр.39.
",,1,2,2,1
13,21,Мелодрама Эжен Сю/Eugène Sue melodrama,"жен Сю (1804-1857), популярный французский писатель, работавший в жанрах социального и авантюрно-исторического романа, в которых мелодраматический элемент занимает важное место. Наиболее известными его произведениями являются “Парижские тайны” (1842-43) и “Вечный жид” (1844-45)",,1,2,3,1
13,21,Дакойты/dacoits,Вооруженные бандиты в Индии или Бирме. Неоднократно упоминаются в романах Сакса Ромера о Фу Манчу.,,1,2,4,1
13,21,Фуззи-вуззи/Fuzzy-Wuzzies,"Или «пушистики». Так англичане называли суданских повстанцев из племени хадендоа, которые 17 января 1885 года во время махдистского восстания (англо-суданской войны) смогли прорвать британское пехотное каре. Махдисты проиграли, однако их героизм так поразил современников, что упомянутый чуть выше в романе Киплинг посвятил им стихотворение «Фуззи-вуззи». Вероятнее всего, что в 1935 году Апереткин находится в Судане; поблизости идёт Вторая итало-эфиопская война (1935-36).",,1,2,5,1
13,21,Гвинейский червь/dracunculiasis,"Или дракункулез. Паразитарная болезнь, вызываемая самками круглых червей Dracunculus medinensis. Распространена в тропиках и субтропиках Азии и Африки.
",,1,2,6,1
13,21,Лейшманиоз/Oriental sore,"Ещё одна паразитарная болезнь. Является следствием москитных укусов.
",,1,2,7,1
13,21,Кэри Грант/Cary Grant,"Известный англо-американский актёр (на фото). В 30-40-е годы снимался преимущественно в комедийных фильмах («Воспитание крошки», «Филадельфийская история», «Мышьяк и старые кружева»), в 50-е много работал с А. Хичкоком («Поймать вора», «К северу через северо-запад»). По признанию Яна Флеминга, является одним из прототипов Бонда, Джеймса Бонда. Говорят, что американцы считали его акцент британским, а англичане – американским. См. также стр.244.
",Гл1.2_стр13_Кэри_Грант.jpg,1,2,8,1
13,21,Слоновье снадобье в пунш / elephant medicine in the punchbowls,"Имеется в виду эпизод из фильма 1939 года «Ганга Дин» (снятого по мотивам произведений Р  Киплинга), в котором персонаж Кэри Гранта вылил бутылку лекарства для слонов в чашу с пуншем и напоил потом этим пуншем сержанта Хиггинботэма (Higginbotham).
",,1,2,9,1
14,21,Сэнди Макферсон / Sandy MacPherson,"Театральный органист. В 1935 году был постоянным органистом в лондонском кинотеатре Empire; во время ВМВ работал на ВВС. Упомянутая ниже в романе «Смена караула» («The changing of the guard») – известный английский марш.
",,1,2,1,1
14,22,Нафан из Газы/Nathan of Gaza,"Один из основателей саббатианства, одного из направлений иудаизма (часто считающегося еретическим), возникшего в середине XVII века; сподвижник и последователь каббалиста Шабтая Цви. До встречи с Нафаном Шабтая часто посещали экзальтические видения, сменяющиеся периодами депрессии. Раввин Нафан смог убедить Шабтая, что эти видения вызваны не болезнью, а свидетельствуют об его избранности. Шабтай провозгласил себя иудейским Мессией. Примерно через год после этого мусульмане предложили Шабтаю выбор между смертью и исламом. Он выбрал ислам. Такое решение не смутило Нафана, который продолжал убеждать иудеев, что ренегатство Шабтая является великой божественной тайной. К примеру, использовался следующий вариант оправдания Шабтая: Мессия пришёл, чтобы принять на себя грехи мира, Шабтай – Мессия, поэтому Шабтай вправе совершать все грехи, включая такие тяжкие, как вероотступничество.
",,1,2,2,1
14,22,Красные шапочки / the red-cap,Британская военная полиция,Гл1.2_стр14_Красные_шапочки.jpg,1,2,3,1
14,22,Уайтхолл / Whitehall,"Улица в Лондоне и одновременно нарицательное обозначение британского правительства.
",,1,2,4,1
14,22,Глиптическое / glyptic,"От «глиптика» – искусство резьбы на цветных драгоценных и полудрагоценных камнях.
",,1,2,5,1
14,22,Кильватер / wake ,"Полоса воды за кормой идущего корабля.
",,1,2,6,1
14,22,Аденоид / Adenoid,"Патологически увеличенная глоточная (носоглоточная) миндалина, вызывающая затруднение носового дыхания, снижение слуха и другие расстройства. Подробнее о значении этого образа см. комментарий к главе I-2.",,1,2,7,1
14,23,Новопазарский санджак / sanjak of Novi Pazar,"Исторический регион на границе современных Сербии и Черногории. После заключения Берлинского мирного договора 1878 года находился под военным контролем Австро-Венгрии, в 1908 году полностью отошел к Османской империи, а по итогам Первой балканской войны (1912-1913) был разделен между Сербией и Черногорией. Одна из «горячих точек» Европы. Термином «санджак» обозначалась административно-территориальная единица в Османской империи. На рис. представлена карта с границами по итогам договора 1878 года.
",Гл1.2_стр14_Новопазарский_санджак.png,1,2,8,1
15,23,Гладстон / Gladstone,Английская дорожная сумка-чемодан,,1,2,1,1
15,23,Эдвардианская медицина / Edwardian medicine,"Речь идет об английском короле Эдуарде VIII (1894-1972), занимавшим престол с 20 января по 11 декабря 1936 года. Отрекся из-за намерения вступить в брак с разведенной американкой Уоллис Симпсон (1896-1986), что запрещалось действовавшими в тот период нормами англиканской церкви. В контексте романа и особенно эпизода с Аденоидом важно то, что Эдуард VIII и в бытность свою королем, и приняв после отречения титул герцога Виндзорского, не скрывал своих симпатий к нацистской Германии и лично к Гитлеру. В 1940 году немцы пытались реализовать операцию «Вилли», стратегической целью которой было восстановление герцога на престоле и последующий выход Великобритании из войны. Не исключено, что Эдуард был в курсе этого замысла. Из некоторых документов так называемого «Марбугского архива» (обнаруженного американцами в мае 1945 года в горах Гарц) следует, что герцог одобрял немецкие бомбардировки английских городов в качестве средства понуждения британского правительства к мирным переговорам. В 1970 году герцог Виндзорский вместе с женой присутствовал на званом обеде в Белом доме (на фото они и Р. Никсон).
",Гл1.2_стр15_Эдвардианская_медицина.jpg,1,2,2,1
15,23,Мейфэр / Mayfair,Престижный район в центре Лондона.,,1,2,3,1
15,23,Ист-Энд / the East End,"Не самый дорогой район в Лондоне. До конца XIX века там располагались трущобы, снос которых начался в рамках программы строительства пяти- и шестиэтажного муниципального жилья.",,1,2,4,1
15,23,Недоходяжеская претериция/preterition,"Претериция (в оригинале preterition), от лат. praeter – «мимо», «кроме» и praeteritus – «прошедший мимо». В некоторых направлениях протестантизма (например, в кальвинизме), под претерицией понимается «прохождение» Бога мимо неизбранных (названных в романе «претеритами», в русском переводе – «недоходягами»), которым Он позволяет следовать собственным путем и навечно погибнуть за свои грехи. Эта идея основана на следующем отрывке из Послания к Римлянам: «Не так ли и Бог, даже когда хотел Он обнаружить Свой праведный гнев и явить Свою мощь, с долготерпением великим щадил те сосуды, что вызывали у Него гнев и подлежали уничтожению, щадил, чтобы открыть все богатство славы Своей над сосудами, которые по милости Своей предуготовил он к славе»[3]. В данном фрагменте романа речь, видимо, идет о «левом» движении. О недоходягах см. далее примечание к стр. 113.
",,1,2,5,1
15,23,Фаэтон / phaeton,"Здесь: тип легкового автомобиля с кузовом с откидным верхом. Назван по имени сына древнегреческого бога Солнца Гелиоса. Фаэтон выпросил у своего отца право управлять солнечной колесницей, но не справился с ней и приблизился слишком близко к Земле. Чтобы спасти Землю от огненного уничтожения, Зевс испепелил молнией Фаэтона. На рис. скульптура “Упавший Фаэтон” Доминика Лефевра; нач. XVIII в.
",Гл1.2_стр15_Фаэтон.jpeg,1,2,6,1
15,23,Хэмстед-Хит / Hampstead Heath,Фешенебельный лондонский район,,1,2,7,1
15,23,Кавендишская лаборатория / Cavendish Laboratory,"Физический факультет Кембриджского университета.
",,1,2,8,1
15,24,Псевдоподия / pseudopod,"Цитоплазматический вырост у одноклеточных организмов и у некоторых видов клеток многоклеточных, используемый для передвижения (амёбоидное движение) и ловли крупных частиц (например, пищи или материала для строительства раковины).
",,1,2,9,1
15,24,Сент-Джеймс / St. James,"Лондонский парк, расположенный возле основных правительственных зданий.
",,1,2,10,1
16,24,Палимпсест / palimpsest,"Древняя рукопись на пергаменте, написанная по смытому или соскобленному первоначальному тексту.",,1,2,11,1
16,24,Croix mystique / croix mystique,"В хиромантии так называется знак, свидетельствующий о наличии способностей к ясновидению, контактам с потусторонним.",,1,2,12,1
16,24,Пиджин / pidgin,"Язык с радикально упрощенной грамматикой и сокращенным словарем (до 1500 слов или меньше), который ни для кого из говорящих не является родным; используется в общении между группами, члены которых владеют кардинально различными языками (например, бичламар - пиджин на основе английского, использовавшийся британскими моряками и туземцами Океании).
",,1,2,13,1
16,24,Алиенист / alienist,Устаревшее название психиатра.,,1,3,14,1
17,25,Пастилки для пасторалей / Meloids for a Mellow Voice,"Английские лакричные конфетки от горла (на рис.). В настоящее время не выпускаются.
",Гл1.3_стр17_Пастилки_для_пасторалей.jpg,1,3,15,1
17,25,Вощанка,"вощёная ткань, бумага.",,1,3,16,1
17,25,Генерал Макартур / General MacArthur,"Дуглас Макартур (1880-1964), генерал армии США (высшее воинское звание в американской армии), верховный командующий союзными войсками на Тихом океане (на фото). В этом качестве 2 сентября 1945 года Макартур подписал Акт о капитуляции Японии, государство США представлял адмирал флота Честер Нимиц.",Гл1.3_стр17_Генерал_Макартур.jpg,1,3,17,1
17,25,Гаррард / Garrard,"Один из старейших ювелирных домов Великобритании, основан в 1735 году. В 1843 году, согласно указу королевы Виктории, Гаррард получил звание придворного ювелира. Щетки у Бомбажа, видимо, очень недешевые. ",,1,3,18,1
17,25,Гроувнор-сквер / Grosvenor Square,"Площадь в Лондоне, район Мэйфейр. Во время ВМВ на Гроувнор-сквер, 20 располагался военный штаб Эйзенхауэра (Главнокомандующего ВЕГСЭВ). На рис. нашивка с эмблемой ВЕГСЭВ.
",Гл1.3_стр17_Гроувнор-сквер.jpg,1,3,19,1
17,26,Оксфорд… Колледж Иисуса / Oxford… Jesus College,"Один из колледжей Оксфордского университета, основан королевой Елизаветой I в 1571 году для обучения протестантского (англиканского) духовенства. С течением времени профиль колледжа стал более разнообразным и сейчас там изучаются гуманитарные науки. К иезуитам отношения не имеет.",,1,3,20,1
18,26,Гелиотроп и умбра / heliotrope and raw umber,"Гелиотроп - это светлый оттенок фиолетового цвета, а также род растений семейства Бурачниковые (тоже фиолетовых);
Умбра - это средне-темный оттенок коричневого цвета, а также минеральный коричневый пигмент из глины . Два этих “дефицитных” цвета могли оказаться рядом потому, что “гелиотроп” дословно означает “следующий за солнцем”, а умбра происходит от латинского “umbra”, то есть “тень”. На рис. карандаши соответствующих цветов.
",Гл1.3_стр18_Гелиотроп.jpg,1,3,1,1
18,27,Тэйерз / Thayers,"Эта основанная в 1847 году в качестве аптечной лаборатории компания известна линейками продуктов здорового питания и натуральной косметики. Расположена в Кэмбридже (Массачусетс), откуда родом Ленитроп. “Сколький вяз” (“Slippery Elm”) - это реальная продукция компании, выпускаемая и по сей день (на рис. - коробка с пастилками дизайна 40-х годов).
",Гл1.3_стр18_Тейерз.jpg,1,3,2,1
18,27,«Джонни-Пончик нашел себе розу в Ирландии» / Johnny Doughboy Found a Rose in Ireland,"Популярная песня из американского мюзикла «Джонни-пехотинец» (1942).
",,1,3,3,1
18,27,Джордж Формби / George Formby,"Популярный в 30-40-е годы английский актер и певец (на фото). Исполнял песни, подыгрывая себе на укулеле или банджолеле.
",Гл1.3_стр18_Джордж_Формби.jpeg,1,3,4,1
18,27,Веймаранер / Weimaraner,"Немецкая порода охотничьих собак (на фото), выведенная в начале XIX века для охоты на крупного зверя  (кабана, оленя, медведя). Ее название происходит от города Веймар (современная земля Тюрингия); считается, что впервые собака появилась при дворе великого герцога Саксен-Веймар-Эйзенахского Карла-Августа (1757-1828). Собака отличается высоким интеллектом и сильной привязанностью к хозяину.",Гл1.3_стр18_Веймаранер.jpeg,1,3,5,1
18,27,Летающая крепость / Flying Fortress,"Американский цельнометаллический тяжёлый четырёхмоторный бомбардировщик Boeing B-17 Flying Fortress. Во время 2МВ самолёт активно использовался не только ВВС Армии США, но и британскими Королевскими ВВС (преимущественно для бомбардировок объектов немецкой промышленности). До мая 1945 года был произведен 12 731 самолет.
",,1,3,6,1
